state,maximum_temperature,year,id_state
NAYARIT,32.82083333333333,2004,18
NUEVO LEÓN,24.483732114119842,2004,19
OAXACA,31.276833342404558,2004,20
PUEBLA,24.233520983926912,2004,21
QUERÉTARO,26.53783221,2004,22
QUINTANA ROO,31.888489525611092,2004,23
SAN LUIS POTOSÍ,28.25910321982994,2004,24
SINALOA,32.289543826919164,2004,25
SONORA,31.08619250431398,2004,26
TABASCO,32.54385443416666,2004,27
TAMAULIPAS,30.21084211451493,2004,28
TLAXCALA,23.068473152282134,2004,29
VERACRUZ,28.843061973396804,2004,30
YUCATÁN,32.810232875000004,2004,31
ZACATECAS,24.360527709264513,2004,32
AGUASCALIENTES,26.479026195768572,2005,1
BAJA CALIFORNIA,26.795105680897695,2005,2
BAJA CALIFORNIA SUR,30.602427338813175,2005,3
CAMPECHE,32.86990910814003,2005,4
CHIAPAS,30.462451004989145,2005,5
CHIHUAHUA,27.114225094068825,2005,6
CIUDAD DE MÉXICO,23.748094999774732,2005,7
COAHUILA,29.962044730078407,2005,8
COLIMA,32.73626770489824,2005,9
DURANGO,27.542048629133006,2005,10
ESTADO DE MÉXICO,23.95151830093293,2005,11
GUANAJUATO,27.29910288042677,2005,12
GUERRERO,32.70333554435914,2005,13
HIDALGO,25.40572114963736,2005,14
JALISCO,29.072349057927312,2005,15
MICHOACÁN,28.783605338305495,2005,16
MORELOS,27.98853315043651,2005,17
NAYARIT,33.0867071816639,2005,18
NUEVO LEÓN,24.270756385280176,2005,19
OAXACA,31.13885935445101,2005,20
PUEBLA,24.691500406221355,2005,21
QUERÉTARO,26.803785695790754,2005,22
QUINTANA ROO,32.324244961322314,2005,23
SAN LUIS POTOSÍ,28.76665505675565,2005,24
SINALOA,33.400979568794135,2005,25
SONORA,32.17592551158591,2005,26
TABASCO,33.38839812379114,2005,27
TAMAULIPAS,30.966777131224433,2005,28
TLAXCALA,23.781855505708336,2005,29
VERACRUZ,30.37502240125926,2005,30
YUCATÁN,33.1013695192273,2005,31
ZACATECAS,25.171627930537586,2005,32
AGUASCALIENTES,27.091531200973577,2006,1
BAJA CALIFORNIA,27.093615933952535,2006,2
BAJA CALIFORNIA SUR,30.956529141010133,2006,3
CAMPECHE,32.392288634384364,2006,4
CHIAPAS,31.474049577349813,2006,5
CHIHUAHUA,27.10106259651798,2006,6
CIUDAD DE MÉXICO,23.86955279579264,2006,7
COAHUILA,29.528025871872007,2006,8
COLIMA,32.744864266203116,2006,9
DURANGO,27.04585916939547,2006,10
ESTADO DE MÉXICO,22.931219816137922,2006,11
