state,minimum_temperature,year,id_state
NAYARIT,18.434711833333335,2004,18
NUEVO LEÓN,7.988067127696159,2004,19
OAXACA,18.759610299478517,2004,20
PUEBLA,11.683534023784548,2004,21
QUERÉTARO,11.337492824333337,2004,22
QUINTANA ROO,19.548495165581517,2004,23
SAN LUIS POTOSÍ,13.68808345730008,2004,24
SINALOA,16.599963155452464,2004,25
SONORA,12.943379197970328,2004,26
TABASCO,21.108382286666668,2004,27
TAMAULIPAS,18.029450066079775,2004,28
TLAXCALA,6.176184183026471,2004,29
VERACRUZ,17.365322830063104,2004,30
YUCATÁN,19.748795481666665,2004,31
ZACATECAS,7.6238453043705725,2004,32
AGUASCALIENTES,8.15157435090191,2005,1
BAJA CALIFORNIA,12.58270616798103,2005,2
BAJA CALIFORNIA SUR,14.112335201071955,2005,3
CAMPECHE,19.26406134984092,2005,4
CHIAPAS,17.44940389649484,2005,5
CHIHUAHUA,9.829929566665593,2005,6
CIUDAD DE MÉXICO,8.510936570349513,2005,7
COAHUILA,12.85760028610833,2005,8
COLIMA,20.27797923834596,2005,9
DURANGO,9.614745055109756,2005,10
ESTADO DE MÉXICO,7.867643995204262,2005,11
GUANAJUATO,9.771641218777624,2005,12
GUERRERO,18.03579874199291,2005,13
HIDALGO,11.272896132145087,2005,14
JALISCO,11.751361828336462,2005,15
MICHOACÁN,12.544333971186626,2005,16
MORELOS,13.01453198099471,2005,17
NAYARIT,17.88776363249163,2005,18
NUEVO LEÓN,7.956997052843403,2005,19
OAXACA,18.584229068994606,2005,20
PUEBLA,12.17948868651421,2005,21
QUERÉTARO,12.117247480678769,2005,22
QUINTANA ROO,19.606484037975292,2005,23
SAN LUIS POTOSÍ,13.44953041757129,2005,24
SINALOA,17.178621839215495,2005,25
SONORA,13.608038288160591,2005,26
TABASCO,22.408947727526485,2005,27
TAMAULIPAS,18.942914740968508,2005,28
TLAXCALA,4.997975321960118,2005,29
VERACRUZ,18.540515233342596,2005,30
YUCATÁN,20.070103687289745,2005,31
ZACATECAS,7.666195146048909,2005,32
AGUASCALIENTES,8.971771556003908,2006,1
BAJA CALIFORNIA,12.680080205652837,2006,2
BAJA CALIFORNIA SUR,16.549014280494386,2006,3
CAMPECHE,20.434007572312378,2006,4
CHIAPAS,19.435815873256434,2006,5
CHIHUAHUA,9.767836186114982,2006,6
CIUDAD DE MÉXICO,10.684243889988364,2006,7
COAHUILA,14.576252117550288,2006,8
COLIMA,20.35798406355475,2006,9
DURANGO,9.19461520384206,2006,10
ESTADO DE MÉXICO,7.426658034416735,2006,11
GUANAJUATO,11.501865626705245,2006,12
GUERRERO,19.15568770827606,2006,13
HIDALGO,10.296349836186417,2006,14
JALISCO,13.258570660779561,2006,15
