LON,LAT,EDO,CLAVE_SIH,ENE,,,,,
-105.620556,28.165278,CHIH,PFCOIMADERO,7.25,,,,,
-105.675556,26.917778,CHIH,PRRCH,11.74,,,,,
-106.085556,28.656944,CHIH,QIJCH,6.41,,,,,
-106.383333,26.466667,CHIH,RVGCH,32.2,,,,,
-107.973333,26.9425,CHIH,TB2CH,31.3,,,,,
-107.85,28.95,CHIH,TMCCH,8.36,,,,,
-107.384167,29.5625,CHIH,TNTCH,7,,,,,
-107.9125,27.216667,CHIH,URECH,33.71,,,,,
-107.916944,27.215556,CHIH,URICH,22.86,,,,,
-105.16,26.738611,CHIH,VICCH,6.04,,,,,
-105.806944,27.454444,CHIH,VZRCH,11.01,,,,,
-108.166667,29.666667,CHIH,YEPCH,0,,,,,
-92.804167,16.552778,CHIS,ACACP,0.8,,,,,
-92.034722,16.737778,CHIS,ALTAMIRANO,25.6,,,,,
-92.778889,16.401389,CHIS,ANGCP,0.01,,,,,
-92.300278,15.124722,CHIS,ARGOVIA,33.6,,,,,
-93.8975,16.241111,CHIS,AROCP,14.2,,,,,
-92.905833,16.997222,CHIS,BOCHIL,9.9,,,,,
-93.15,16.641944,CHIS,BOQCP,0,,,,,
-92.716667,15.35,CHIS,CACCP,5.9,,,,,
-92.4875,16.308333,CHIS,CASCAJAL,1,,,,,
-92.479167,16.308333,CHIS,CASCP,0,,,,,
-92.483056,15.969167,CHIS,CATARINITAS,0,,,,,
-91.949722,17.85,CHIS,CATAZAJA,35.4,,,,,
-91.703333,17.472222,CHIS,CHACAMAX,130,,,,,
-91.710278,16.383056,CHIS,CHAYABE,83.5,,,,,
-92.281389,15.750278,CHIS,CHICOMUSELO,4.8,,,,,
-93.100556,16.941667,CHIS,CHICP,4.4,,,,,
-92.283333,15.75,CHIS,CHMCP,0.8,,,,,
-92.1,16.2,CHIS,COOCP,2.24,,,,,
-92.575,15.204167,CHIS,DESCP,6.41,,,,,
-92.590833,16.686111,CHIS,ELAGUAJE,5.6,,,,,
-92.95,15.495833,CHIS,ELNCP,29.01,,,,,
-92.808056,15.656667,CHIS,ELTRIUNFO,22.4,,,,,
