state,average_temperature,year,id_state
NAYARIT,25.627772583333336,2004,18
NUEVO LEÓN,16.235899620907997,2004,19
OAXACA,25.018221820941534,2004,20
PUEBLA,17.95852750385573,2004,21
QUERÉTARO,18.937662517166668,2004,22
QUINTANA ROO,25.7184923455963,2004,23
SAN LUIS POTOSÍ,20.97359333856501,2004,24
SINALOA,24.44475349118581,2004,25
SONORA,22.014785851142154,2004,26
TABASCO,26.82611836041666,2004,27
TAMAULIPAS,24.12014609029735,2004,28
TLAXCALA,14.622328667654301,2004,29
VERACRUZ,23.104192401729957,2004,30
YUCATÁN,26.27951417833333,2004,31
ZACATECAS,15.992186506817541,2004,32
AGUASCALIENTES,17.31530027333524,2005,1
BAJA CALIFORNIA,19.68890592443936,2005,2
BAJA CALIFORNIA SUR,22.357381269942564,2005,3
CAMPECHE,26.06698522899047,2005,4
CHIAPAS,23.955927450741985,2005,5
CHIHUAHUA,18.472077330367203,2005,6
CIUDAD DE MÉXICO,16.12951578506212,2005,7
COAHUILA,21.40982250809337,2005,8
COLIMA,26.507123471622094,2005,9
DURANGO,18.578396842121382,2005,10
ESTADO DE MÉXICO,15.909581148068595,2005,11
GUANAJUATO,18.5353720496022,2005,12
GUERRERO,25.36956714317603,2005,13
HIDALGO,18.339308640891225,2005,14
JALISCO,20.411855443131888,2005,15
MICHOACÁN,20.66396965474606,2005,16
MORELOS,20.50153256571561,2005,17
NAYARIT,25.487235407077765,2005,18
NUEVO LEÓN,16.11387671906179,2005,19
OAXACA,24.861544211722812,2005,20
PUEBLA,18.435494546367785,2005,21
QUERÉTARO,19.460516588234764,2005,22
QUINTANA ROO,25.965364499648803,2005,23
SAN LUIS POTOSÍ,21.108092737163464,2005,24
SINALOA,25.28980070400482,2005,25
SONORA,22.891981899873247,2005,26
TABASCO,27.898672925658815,2005,27
TAMAULIPAS,24.954845936096465,2005,28
TLAXCALA,14.38991541383423,2005,29
VERACRUZ,24.457768817300927,2005,30
YUCATÁN,26.585736603258525,2005,31
ZACATECAS,16.418911538293244,2005,32
AGUASCALIENTES,18.031651378488743,2006,1
BAJA CALIFORNIA,19.886848069802692,2006,2
BAJA CALIFORNIA SUR,23.75277171075226,2006,3
CAMPECHE,26.413148103348362,2006,4
CHIAPAS,25.454932725303127,2006,5
CHIHUAHUA,18.434449391316488,2006,6
CIUDAD DE MÉXICO,17.2768983428905,2006,7
COAHUILA,22.052138994711147,2006,8
COLIMA,26.551424164878934,2006,9
DURANGO,18.12023718661877,2006,10
ESTADO DE MÉXICO,15.178938925277329,2006,11
GUANAJUATO,19.619491989291575,2006,12
GUERRERO,26.051473886026596,2006,13
HIDALGO,17.688769027699454,2006,14
JALISCO,21.179375288754652,2006,15
MICHOACÁN,20.737784832623515,2006,16
MORELOS,21.787571192862845,2006,17
NAYARIT,26.085668914532764,2006,18
NUEVO LEÓN,22.330553663538733,2006,19
OAXACA,25.327061885993075,2006,20
PUEBLA,17.638105345122703,2006,21
QUERÉTARO,19.42279924219167,2006,22
QUINTANA ROO,27.122661563853132,2006,23
SAN LUIS POTOSÍ,22.869721404161634,2006,24
SINALOA,25.62337009140751,2006,25
SONORA,22.500398144923945,2006,26
TABASCO,27.134379380201846,2006,27
TAMAULIPAS,24.7069110736455,2006,28
TLAXCALA,14.74718854100857,2006,29
VERACRUZ,23.476458363891805,2006,30
YUCATÁN,26.551104801707428,2006,31
ZACATECAS,17.406694872395633,2006,32
AGUASCALIENTES,17.723703150581056,2007,1
BAJA CALIFORNIA,19.653937446459306,2007,2
BAJA CALIFORNIA SUR,22.930481552978975,2007,3
CAMPECHE,26.68548427391785,2007,4
CHIAPAS,25.399969332436424,2007,5
CHIHUAHUA,18.2966089292079,2007,6
CIUDAD DE MÉXICO,17.315715594152525,2007,7
COAHUILA,21.123086319939926,2007,8
COLIMA,26.482203267207563,2007,9
DURANGO,17.70706432031543,2007,10
ESTADO DE MÉXICO,14.531198527111348,2007,11
GUANAJUATO,19.167198548277202,2007,12
GUERRERO,26.128508223566882,2007,13
HIDALGO,18.006530325644064,2007,14
JALISCO,21.21645338845098,2007,15
MICHOACÁN,20.26789394328407,2007,16
MORELOS,22.38237677611963,2007,17
NAYARIT,26.023266887252408,2007,18
NUEVO LEÓN,21.711117104397417,2007,19
OAXACA,25.4583882886247,2007,20
PUEBLA,17.88411550495973,2007,21
QUERÉTARO,18.858515043856425,2007,22
QUINTANA ROO,27.05834000176709,2007,23
SAN LUIS POTOSÍ,22.56572440555567,2007,24
SINALOA,24.911421330880206,2007,25
SONORA,22.29319085922758,2007,26
TABASCO,26.831840228592785,2007,27
TAMAULIPAS,23.918158667907345,2007,28
TLAXCALA,14.794282666619443,2007,29
VERACRUZ,23.26716000281314,2007,30
YUCATÁN,26.49314264463888,2007,31
ZACATECAS,16.926922250808477,2007,32
AGUASCALIENTES,17.43708337098121,2008,1
BAJA CALIFORNIA,19.527568271088118,2008,2
BAJA CALIFORNIA SUR,23.217533982914986,2008,3
CAMPECHE,26.46383228466864,2008,4
CHIAPAS,24.4647725689541,2008,5
CHIHUAHUA,17.977436831511202,2008,6
CIUDAD DE MÉXICO,17.080696134311236,2008,7
COAHUILA,21.532799717500566,2008,8
COLIMA,25.712758705788996,2008,9
DURANGO,17.378725060733895,2008,10
ESTADO DE MÉXICO,14.615544681451595,2008,11
GUANAJUATO,20.829230631517234,2008,12
GUERRERO,23.07501040292266,2008,13
HIDALGO,17.54941702075238,2008,14
JALISCO,20.693983011612683,2008,15
MICHOACÁN,19.429882551867614,2008,16
MORELOS,21.629056259467635,2008,17
NAYARIT,25.2862575992331,2008,18
NUEVO LEÓN,22.058839734638823,2008,19
OAXACA,24.039263033510906,2008,20
PUEBLA,17.35384719882894,2008,21
QUERÉTARO,18.30182359293472,2008,22
QUINTANA ROO,26.831226965146666,2008,23
SAN LUIS POTOSÍ,22.1042251931315,2008,24
SINALOA,24.588891628491467,2008,25
SONORA,22.256345286597163,2008,26
TABASCO,26.19299191376099,2008,27
TAMAULIPAS,23.572391026460064,2008,28
TLAXCALA,14.63260377231235,2008,29
VERACRUZ,22.916403678006684,2008,30
YUCATÁN,26.2564563391872,2008,31
ZACATECAS,16.61547918302082,2008,32
AGUASCALIENTES,18.217491133329663,2009,1
BAJA CALIFORNIA,19.630770924138577,2009,2
BAJA CALIFORNIA SUR,23.5806119357828,2009,3
CAMPECHE,27.085001056348602,2009,4
CHIAPAS,24.565959112004872,2009,5
CHIHUAHUA,18.219535264502145,2009,6
CIUDAD DE MÉXICO,17.740290348691296,2009,7
COAHUILA,22.00826012280156,2009,8
COLIMA,26.461969966715387,2009,9
DURANGO,17.990837375316,2009,10
ESTADO DE MÉXICO,14.644841330366193,2009,11
GUANAJUATO,19.414732482341325,2009,12
GUERRERO,25.499593535873228,2009,13
HIDALGO,18.085853852832912,2009,14
JALISCO,21.048247877298916,2009,15
MICHOACÁN,19.34477496881379,2009,16
MORELOS,21.84961110895038,2009,17
NAYARIT,25.810480446338357,2009,18
NUEVO LEÓN,22.486352907990106,2009,19
OAXACA,24.441405369345947,2009,20
PUEBLA,17.847100409078756,2009,21
QUERÉTARO,18.90115603216042,2009,22
QUINTANA ROO,27.01889445949112,2009,23
SAN LUIS POTOSÍ,22.80338645755721,2009,24
SINALOA,25.472109226749705,2009,25
SONORA,22.483001297541335,2009,26
TABASCO,26.81145391777302,2009,27
TAMAULIPAS,24.438018009540098,2009,28
TLAXCALA,14.7549363206868,2009,29
VERACRUZ,23.14323899631161,2009,30
YUCATÁN,26.811643262827484,2009,31
ZACATECAS,17.29296687686679,2009,32
AGUASCALIENTES,17.297633928390187,2010,1
BAJA CALIFORNIA,19.702827116968365,2010,2
BAJA CALIFORNIA SUR,22.79170225833175,2010,3
CAMPECHE,26.166465927057388,2010,4
CHIAPAS,24.30520626796631,2010,5
CHIHUAHUA,18.075150640304432,2010,6
CIUDAD DE MÉXICO,17.051351064729445,2010,7
COAHUILA,20.650808502203912,2010,8
COLIMA,25.17948666773643,2010,9
DURANGO,16.983628278317312,2010,10
ESTADO DE MÉXICO,14.038274316553453,2010,11
GUANAJUATO,18.708493568791624,2010,12
GUERRERO,24.497254990133055,2010,13
HIDALGO,17.155796428969442,2010,14
JALISCO,20.357303181379233,2010,15
MICHOACÁN,18.30559600458221,2010,16
MORELOS,21.565544104513204,2010,17
NAYARIT,25.029366492769594,2010,18
NUEVO LEÓN,21.41711530449003,2010,19
OAXACA,23.605559219006278,2010,20
PUEBLA,17.156865376191504,2010,21
QUERÉTARO,18.22142721609671,2010,22
QUINTANA ROO,26.331427154051585,2010,23
SAN LUIS POTOSÍ,21.99583991639066,2010,24
SINALOA,24.439429795252007,2010,25
SONORA,21.84094348872506,2010,26
TABASCO,26.055176410100888,2010,27
TAMAULIPAS,23.241805323658056,2010,28
TLAXCALA,14.169897674721092,2010,29
VERACRUZ,22.28679713088044,2010,30
YUCATÁN,25.50456034305571,2010,31
ZACATECAS,16.408258770230542,2010,32
AGUASCALIENTES,18.232761081983412,2011,1
BAJA CALIFORNIA,18.85228171011737,2011,2
BAJA CALIFORNIA SUR,22.72497992761022,2011,3
CAMPECHE,26.866775792494266,2011,4
CHIAPAS,24.261304709371007,2011,5
CHIHUAHUA,18.869342555273867,2011,6
CIUDAD DE MÉXICO,17.416282969210155,2011,7
COAHUILA,22.53864574811465,2011,8
COLIMA,25.583837502355433,2011,9
DURANGO,18.48633347411263,2011,10
ESTADO DE MÉXICO,14.304225145317202,2011,11
GUANAJUATO,18.959186438724945,2011,12
GUERRERO,25.078663488323343,2011,13
HIDALGO,17.660167459891486,2011,14
JALISCO,20.827798148447503,2011,15
MICHOACÁN,19.809435961568024,2011,16
MORELOS,21.453605183859352,2011,17
NAYARIT,24.930520796245762,2011,18
NUEVO LEÓN,22.793722987611087,2011,19
OAXACA,24.373397860216627,2011,20
PUEBLA,17.69484915899673,2011,21
QUERÉTARO,18.571785660576285,2011,22
QUINTANA ROO,26.81461418753261,2011,23
SAN LUIS POTOSÍ,23.171172823651172,2011,24
SINALOA,24.556348371011765,2011,25
SONORA,21.995840999092767,2011,26
TABASCO,25.74368510972843,2011,27
TAMAULIPAS,24.392952097698203,2011,28
TLAXCALA,14.849337285274906,2011,29
VERACRUZ,23.234094876067868,2011,30
YUCATÁN,26.102049036697867,2011,31
ZACATECAS,17.538401681911587,2011,32
AGUASCALIENTES,17.804166666666664,2012,1
BAJA CALIFORNIA,19.891666666666666,2012,2
BAJA CALIFORNIA SUR,23.09583333333333,2012,3
CAMPECHE,26.57083333333333,2012,4
CHIAPAS,24.362499999999997,2012,5
CHIHUAHUA,19.295833333333338,2012,6
CIUDAD DE MÉXICO,16.971666666666668,2012,7
COAHUILA,22.44583333333333,2012,8
COLIMA,25.666666666666668,2012,9
DURANGO,18.304166666666664,2012,10
ESTADO DE MÉXICO,14.638333333333334,2012,11
GUANAJUATO,19.025,2012,12
GUERRERO,25.225000000000005,2012,13
HIDALGO,17.670833333333334,2012,14
JALISCO,20.370833333333334,2012,15
MICHOACÁN,19.741666666666664,2012,16
MORELOS,21.45,2012,17
NAYARIT,25.22083333333333,2012,18
NUEVO LEÓN,22.741666666666664,2012,19
OAXACA,24.67916666666667,2012,20
PUEBLA,17.766666666666666,2012,21
QUERÉTARO,19.0125,2012,22
QUINTANA ROO,26.750000000000004,2012,23
SAN LUIS POTOSÍ,22.954166666666666,2012,24
SINALOA,25.087500000000002,2012,25
SONORA,22.441666666666663,2012,26
TABASCO,26.03333333333333,2012,27
TAMAULIPAS,24.63333333333333,2012,28
TLAXCALA,14.700000000000001,2012,29
VERACRUZ,22.908333333333335,2012,30
YUCATÁN,25.954166666666666,2012,31
ZACATECAS,17.287499999999998,2012,32
AGUASCALIENTES,18.152378413167977,2013,1
BAJA CALIFORNIA,20.67438662422511,2013,2
BAJA CALIFORNIA SUR,23.400819414568257,2013,3
CAMPECHE,27.685209502850586,2013,4
CHIAPAS,24.94957547081684,2013,5
CHIHUAHUA,18.311131952353247,2013,6
CIUDAD DE MÉXICO,18.059681644122925,2013,7
COAHUILA,21.859108690401243,2013,8
COLIMA,26.363393103623125,2013,9
DURANGO,18.332202760833002,2013,10
ESTADO DE MÉXICO,15.612767348921855,2013,11
GUANAJUATO,19.29129672263449,2013,12
GUERRERO,25.246810427578733,2013,13
HIDALGO,18.1906653278844,2013,14
JALISCO,20.800491229796815,2013,15
MICHOACÁN,19.962493509074125,2013,16
MORELOS,22.18678867565434,2013,17
NAYARIT,25.577166583810996,2013,18
NUEVO LEÓN,21.9798044269117,2013,19
OAXACA,25.19260117958574,2013,20
PUEBLA,18.35292665482351,2013,21
QUERÉTARO,19.42635561558443,2013,22
QUINTANA ROO,26.97983574440309,2013,23
SAN LUIS POTOSÍ,23.099415192718464,2013,24
SINALOA,25.030048404638404,2013,25
SONORA,22.42895101145187,2013,26
TABASCO,26.941205635488654,2013,27
TAMAULIPAS,24.25770297577303,2013,28
TLAXCALA,15.559550128066379,2013,29
VERACRUZ,23.457005769015083,2013,30
YUCATÁN,26.79236633807651,2013,31
ZACATECAS,17.441738037502677,2013,32
AGUASCALIENTES,17.925,2014,1
BAJA CALIFORNIA,22.29166666666666,2014,2
BAJA CALIFORNIA SUR,24.683333333333334,2014,3
CAMPECHE,27.40833333333333,2014,4
CHIAPAS,24.558333333333334,2014,5
CHIHUAHUA,18.558333333333334,2014,6
CIUDAD DE MÉXICO,17.683333333333334,2014,7
COAHUILA,21.55,2014,8
COLIMA,26.88333333333333,2014,9
DURANGO,18.458333333333336,2014,10
ESTADO DE MÉXICO,14.600000000000001,2014,11
GUANAJUATO,18.983333333333334,2014,12
GUERRERO,25.283333333333335,2014,13
HIDALGO,18.083333333333332,2014,14
JALISCO,20.816666666666666,2014,15
MICHOACÁN,19.925,2014,16
MORELOS,22.241666666666664,2014,17
NAYARIT,26.183333333333337,2014,18
NUEVO LEÓN,21.691666666666666,2014,19
OAXACA,24.516666666666666,2014,20
PUEBLA,18.3,2014,21
QUERÉTARO,18.900000000000002,2014,22
QUINTANA ROO,27.316666666666663,2014,23
SAN LUIS POTOSÍ,22.650000000000002,2014,24
SINALOA,25.875,2014,25
SONORA,23.600000000000005,2014,26
TABASCO,26.691666666666663,2014,27
TAMAULIPAS,23.791666666666668,2014,28
TLAXCALA,15.625000000000002,2014,29
VERACRUZ,22.416666666666668,2014,30
YUCATÁN,26.58333333333334,2014,31
ZACATECAS,17.39166666666667,2014,32
AGUASCALIENTES,17.7,2015,1
BAJA CALIFORNIA,20.9,2015,2
BAJA CALIFORNIA SUR,24.4,2015,3
CAMPECHE,27.9,2015,4
CHIAPAS,24.9,2015,5
CHIHUAHUA,18.6,2015,6
CIUDAD DE MÉXICO,17.8,2015,7
COAHUILA,20.8,2015,8
COLIMA,26.7,2015,9
DURANGO,17.9,2015,10
ESTADO DE MÉXICO,14.8,2015,11
GUANAJUATO,19.1,2015,12
GUERRERO,26.2,2015,13
HIDALGO,18.1,2015,14
JALISCO,21.3,2015,15
MICHOACÁN,21.2,2015,16
MORELOS,22.6,2015,17
NAYARIT,26.6,2015,18
NUEVO LEÓN,22.1,2015,19
OAXACA,25.0,2015,20
PUEBLA,18.3,2015,21
QUERÉTARO,19.8,2015,22
QUINTANA ROO,27.7,2015,23
SAN LUIS POTOSÍ,22.1,2015,24
SINALOA,25.8,2015,25
SONORA,23.2,2015,26
TABASCO,27.3,2015,27
TAMAULIPAS,24.3,2015,28
TLAXCALA,15.6,2015,29
VERACRUZ,23.0,2015,30
YUCATÁN,27.4,2015,31
ZACATECAS,17.4,2015,32
AGUASCALIENTES,18.474999999999998,2016,1
BAJA CALIFORNIA,21.633333333333336,2016,2
